name,Number of residents,year,Ages 0-5,Ages 6-17,Ages 18-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages over 65,Working age,Gymn Ed,Prof Ed,Bachelors,Medium HE,Masters,No education,Currently studying,Entrepreneurs,Low income,Middle income,High income,Danish origin,Western,non-Western,wkb_geometry
Collins,423,2008,7.57000017,11.35000038,17.02000046,22.45999908,15.84000015,14.65999985,11.10999966,79.94000244,9.89999962,15.80000019,5.30000019,13.80000019,17.39999962,18.10000038,19.70000076,9.69999981,25.97999954,25.97999954,48.04000092,87.23000336,10.17000008,2.5999999
Børnehospitalets,1058,2008,7.28000021,11.63000011,13.98999977,14.64999962,14.56000042,22.59000015,15.31000042,76.76999664,8.89999962,13.30000019,4.69999981,12.80000019,29.79999924,15.19999981,15.39999962,6.69999981,26.32999992,20.65999985,53.00999832,87.05000305,8.78999996,4.15999985
Classens,1265,2008,7.59000015,7.59000015,18.96999931,16.12999916,10.67000008,19.04999924,20,78.15000153,9.80000019,14.39999962,3.70000005,16.70000076,22.10000038,13.80000019,19.5,9.39999962,31.10000038,21.79000092,47.11000061,86.95999908,9.32999992,3.72000003
Mandals,1402,2008,9.19999981,9.84000015,18.26000023,19.76000023,13.61999989,16.97999954,12.34000015,74.08000183,9.39999962,14.19999981,4.5999999,15.5,19.60000038,18.5,18.20000076,12,33.09999847,25.30999947,41.59000015,84.94999695,9.42000008,5.63000011
Rosenvængets,579,2008,7.94000006,10.18999958,17.44000053,18.64999962,13.98999977,22.11000061,9.67000008,79.12000275,8.5,13.19999981,5.69999981,16.79999924,28.60000038,12.30000019,14.89999962,6.5999999,26.70999908,18.79999924,54.49000168,86.01000214,11.22999954,2.75999999
Aggersborgs,1766,2008,6.73999977,7.63999987,27.75,24.57999992,13.47999954,11.32999992,8.48999977,81.90000153,7.9000001,11.89999962,5.19999981,17.70000076,20.20000076,10.10000038,26.79999924,17.79999924,33.84999847,26.12000084,40.02999878,89.47000122,6.46000004,4.07999992
Kastellets,480,2008,4.17000008,6.67000008,20.62999916,13.75,11.46000004,23.54000092,19.79000092,75.13999939,11.5,10.69999981,6.19999981,12.10000038,21.89999962,18.89999962,18.60000038,3.9000001,32.93999863,20.04999924,47.02000046,82.91999817,14.17000008,2.92000008
Østerbros,2083,2008,9.69999981,13.82999992,12.47999954,21.70000076,16.37000084,18.38999939,7.53999996,76.31999969,8.89999962,14.30000019,4.9000001,18.5,21.89999962,18.5,13,15,29.48999977,21.37999916,49.13000107,83.68000031,9.27000046,7.05999994
Lipkes,1380,2008,9.13000011,9.06000042,23.84000015,24.70999908,13.40999985,12.75,7.0999999,79.83000183,9.89999962,11.60000038,4.4000001,16.60000038,22.29999924,13.69999981,21.60000038,10.60000038,28.76000023,26.12000084,45.11999893,87.38999939,7.46000004,5.13999987
Sorøgades,1356,2008,7.96000004,11.06000042,19.46999931,21.89999962,14.44999981,17.47999954,7.67000008,75.90000153,11.30000019,10.89999962,4.30000019,14.30000019,20.60000038,22.10000038,16.39999962,13.89999962,31.95000076,21.56999969,46.47999954,84.37000275,10.18000031,5.46000004
Panums,4,2008,0,0,0,0,0,100,0,50,0,50,0,25,0,0,25,0,0,0,0,100,0,0
Næstvedgades,1852,2008,7.4000001,9.72000027,20.09000015,21.76000023,15.81999969,15.60000038,9.60999966,74.63999939,7.19999981,13.89999962,3.79999995,15.5,19.29999924,18.79999924,21.39999962,13.10000038,29.86000061,33.95999908,36.16999817,84.61000061,8.21000004,7.17999983
Frihavnskvarterets,2,2008,0,50,0,0,0,50,0,100,0,0,100,0,0,0,0,5,0,0,0,100,0,0
Faksegades,2314,2008,7.6500001,12.44999981,17.85000038,20.30999947,15.38000011,18.14999962,8.21000004,79.58000183,8.30000019,15.39999962,5.5,16.70000076,21.29999924,15.39999962,17.39999962,15.19999981,27.97999954,26.31999969,45.70000076,89.62999725,6.57000017,3.79999995
Kalkbrænderiets,2134,2008,9.18000031,13.81999969,14.67000008,20.76000023,16.92000008,14.39000034,10.26000023,80.69000244,9.39999962,16.39999962,4.5999999,17.29999924,22.79999924,12.60000038,16.70000076,13,25.11000061,24.92000008,49.97000122,88.80000305,7.63999987,3.55999994
Niels Finsens,1273,2008,9.57999992,6.82999992,25.61000061,28.20000076,11.31000042,12.88000011,5.57999992,80.65000153,8.80000019,14.89999962,3.5999999,18,21.89999962,15.60000038,17.29999924,12.39999962,31,29.27000046,39.72999954,84.76000214,10.36999989,4.86999989
Jens Munks,835,2008,8.5,5.86999989,17.71999931,21.55999947,10.53999996,17.37000084,18.44000053,77.36000061,8.80000019,21.39999962,5.80000019,14,18.60000038,14.80000019,16.60000038,16.10000038,27.43000031,31.07999992,41.49000168,91.26000214,5.1500001,3.58999991
Vejlegades,1216,2008,9.05000019,7.32000017,31.17000008,25.48999977,12.42000008,10.11999989,4.44000006,80.72000122,9.89999962,15.19999981,4.5999999,14.30000019,15.60000038,15,25.29999924,11.5,31.12999916,33.06999969,35.79999924,87.58000183,7.1500001,5.26000023
Nøjsomheds,1504,2008,8.38000011,10.97000027,20.01000023,23.60000038,16.48999977,11.77000046,8.77999973,79.75,7.5,14.5,3.29999995,16.39999962,22.29999924,16.39999962,19.5,15.10000038,27.28000069,27.93000031,44.79000092,87.90000153,6.78000021,5.32000017
Strandboulevardens,1535,2008,7.88000011,6.11999989,31.27000046,25.40999985,12.38000011,11.01000023,5.92999983,79.80999756,9.10000038,14.30000019,2.70000005,15.89999962,17.79999924,14.60000038,25.70000076,13.69999981,34,26.64999962,39.34999847,87.16999817,7.55999994,5.28000021
Ålborggades,1009,2008,5.94999981,4.86000013,38.15999985,26.65999985,11,7.82999992,5.55000019,78.76000214,8.89999962,13.80000019,4,12.19999981,15.69999981,17.60000038,27.89999962,19.70000076,37.38999939,32.86999893,29.73999977,88.11000061,6.73999977,5.1500001
Århusgades,598,2008,8.85999966,7.86000013,30.77000046,26.76000023,12.36999989,9.19999981,4.17999983,77.29000092,9.39999962,14,4.5999999,12.5,15.69999981,17.5,26.29999924,11.30000019,34.61999893,30.35000038,35.02999878,86.95999908,6.51999998,6.51999998
Kanslergades,2540,2008,6.42000008,16.18000031,12.80000019,12.47999954,16.56999969,22.52000046,13.02999973,75.05999756,9.10000038,13.5,3.20000005,28.79999924,12.60000038,15.5,17.20000076,8.19999981,24.5,27.20999908,48.29000092,90.12000275,4.53000021,5.3499999
Øresunds,2066,2008,5.61000013,6.28999996,27.20000076,21.35000038,13.69999981,15.39000034,10.44999981,79.08999634,9.80000019,13.39999962,5.80000019,15.39999962,15.39999962,16.89999962,23.29999924,14.60000038,30.62000084,29.40999985,39.97000122,87.37000275,6.92000008,5.71000004
Struergades,2089,2008,5.03000021,3.93000007,33.16999817,25.22999954,11.10999966,13.26000023,8.27999973,75.79000092,7.5999999,14.10000038,4.69999981,12.39999962,20.89999962,17.39999962,22.89999962,23,32.75999832,29.25,37.97999954,85.83000183,7.75,6.40999985
Bogensegades,1450,2008,10.55000019,8.82999992,26.62000084,23.23999977,11.93000031,10.40999985,8.40999985,76.02999878,7.9000001,14.10000038,6.0999999,16.10000038,16.60000038,18.39999962,20.89999962,9.89999962,29.34000015,33.77999878,36.88000107,83.16999817,6.21000004,10.61999989
Ringkøbinggades,1128,2008,8.32999992,7.61999989,22.43000031,25.88999939,11.88000011,12.59000015,11.26000023,82.41999817,8.69999981,17.79999924,4.9000001,14.60000038,20,14.89999962,19.10000038,16.10000038,30.72999954,28.12999916,41.15000153,89.62999725,4.88000011,5.5
Langesunds,2108,2008,5.92999983,7.78000021,28.55999947,16.88999939,14.14000034,15.27999973,11.43000031,71.36000061,9.89999962,17.10000038,4.19999981,12.5,11.10000038,21.70000076,23.39999962,14.60000038,31.79000092,33.72000122,34.49000168,85.05999756,5.98000002,8.97000027
Skudehavnens,39,2008,0,7.69000006,5.13000011,7.69000006,17.95000076,46.15000153,15.38000011,43.75,6.30000019,31.29999924,3.0999999,9.39999962,6.30000019,31.29999924,12.5,2.70000005,0,0,0,100,0,0
Zions,1795,2008,5.01000023,6.96000004,24.68000031,14.93000031,11.47999954,17.44000053,19.5,69.13999939,7.69999981,20.79999924,2.9000001,11.39999962,9.19999981,28.20000076,19.89999962,9.80000019,32.79999924,38.77000046,28.43000031,85.40000153,5.01000023,9.57999992
